"1456","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Country"
"1456","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Country"
"1495","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Royalty"
"1495","1","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1495","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1503","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Royalty"
"1503","1","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1503","2","http://dbpedia.org/ontology/Building http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/ArchitecturalStructure http://dbpedia.org/ontology/PopulatedPlace"
"143","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Cyclist"
"143","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Country"
"143","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/City"
"1408","0","http://dbpedia.org/ontology/Broadcaster http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/TelevisionStation http://dbpedia.org/ontology/Station"
"1408","1","http://dbpedia.org/ontology/BroadcastNetwork http://dbpedia.org/ontology/Broadcaster http://dbpedia.org/ontology/Organisation"
"1502","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Royalty"
"1502","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1502","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1446","0","http://dbpedia.org/ontology/ArchitecturalStructure http://dbpedia.org/ontology/Infrastructure http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/Road http://dbpedia.org/ontology/RouteOfTransportation"
"1446","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1446","2","http://dbpedia.org/ontology/City http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1479","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Royalty"
"1479","1","http://dbpedia.org/ontology/Person"
"1479","2","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1479","3","http://dbpedia.org/ontology/Person"
"15","0","http://dbpedia.org/ontology/AdministrativeRegion http://dbpedia.org/ontology/ClericalAdministrativeRegion http://dbpedia.org/ontology/Diocese http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Region"
"15","1","http://dbpedia.org/ontology/AdministrativeRegion http://dbpedia.org/ontology/ClericalAdministrativeRegion http://dbpedia.org/ontology/Diocese http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Region"
"15","2","http://dbpedia.org/ontology/AdministrativeRegion http://dbpedia.org/ontology/ClericalAdministrativeRegion http://dbpedia.org/ontology/Diocese http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Region"
"15","3","http://dbpedia.org/ontology/AdministrativeRegion http://dbpedia.org/ontology/ClericalAdministrativeRegion http://dbpedia.org/ontology/Diocese http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Region"
"1471","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Royalty"
"1471","1","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Royalty"
"1471","2","http://dbpedia.org/ontology/City http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1471","3","http://dbpedia.org/ontology/Person"
"142","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Athlete http://dbpedia.org/ontology/Cyclist"
"142","1","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"142","2","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1473","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Royalty"
"1473","1","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Royalty"
"1473","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/Country"
"1473","3","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Royalty"
"1499","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Royalty"
"1499","1","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/City"
"1499","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Building"
"152nd_Georgia_General_Assembly#2","2","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Athlete"
"1515","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Athlete"
"1515","1","http://dbpedia.org/ontology/MusicalArtist http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1515","2","http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/RugbyClub http://dbpedia.org/ontology/SportsTeam"
"1515","3","http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/RugbyClub http://dbpedia.org/ontology/SportsTeam"
"147","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Athlete http://dbpedia.org/ontology/Cyclist"
"147","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Country"
"147","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/Country"
"1519","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Athlete"
"1519","1","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/Village http://dbpedia.org/ontology/MusicalArtist"
"1519","2","http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/RugbyClub http://dbpedia.org/ontology/SportsTeam"
"1519","3","http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/RugbyClub http://dbpedia.org/ontology/SportsTeam"
"1448","0","http://dbpedia.org/ontology/ArchitecturalStructure http://dbpedia.org/ontology/Infrastructure http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/Road http://dbpedia.org/ontology/RouteOfTransportation"
"1448","1","http://dbpedia.org/ontology/City http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1448","2","http://dbpedia.org/ontology/City http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1520","0","http://dbpedia.org/ontology/Person"
"1520","1","http://dbpedia.org/ontology/Person"
"1520","2","http://dbpedia.org/ontology/EducationalInstitution http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/School"
"1520","3","http://dbpedia.org/ontology/City http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1472","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Royalty"
"1472","1","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Royalty"
"1472","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/Country"
"1472","3","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Royalty"
"1533","0","http://dbpedia.org/ontology/Person"
"1533","1","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1533","2","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Cleric http://dbpedia.org/ontology/Pope"
"1527","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Cleric http://dbpedia.org/ontology/Saint"
"1527","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Country"
"1511","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Athlete"
"1511","1","http://dbpedia.org/ontology/EducationalInstitution http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/University"
"1438","0","http://dbpedia.org/ontology/ArchitecturalStructure http://dbpedia.org/ontology/Infrastructure http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/Road http://dbpedia.org/ontology/RouteOfTransportation"
"1438","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/City"
"1438","2","http://dbpedia.org/ontology/City http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1523","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Cleric http://dbpedia.org/ontology/Saint"
"1523","1","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Cleric http://dbpedia.org/ontology/Pope"
"1523","2","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1523","3","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/Country"
"155","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Athlete"
"155","1","http://dbpedia.org/ontology/MusicalArtist http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"155","2","http://dbpedia.org/ontology/City http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"154","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Athlete http://dbpedia.org/ontology/Cyclist"
"154","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Country"
"154","2","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1538","0","http://dbpedia.org/ontology/Person"
"1538","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/PopulatedPlace"
"1538","2","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Cleric http://dbpedia.org/ontology/Pope"
"1517","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Athlete"
"1517","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/MusicalArtist http://dbpedia.org/ontology/Country"
"1517","2","http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/RugbyClub http://dbpedia.org/ontology/SportsTeam"
"1517","3","http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/RugbyClub http://dbpedia.org/ontology/SportsTeam"
"1537","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Cleric http://dbpedia.org/ontology/Saint"
"1537","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1537","2","http://dbpedia.org/ontology/VideoGame http://dbpedia.org/ontology/Person"
"1544","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Scientist"
"1544","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/City http://dbpedia.org/ontology/Settlement"
"1478","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Royalty"
"1478","1","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Royalty"
"1478","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1478","3","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Royalty"
"1513","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Athlete"
"1513","1","http://dbpedia.org/ontology/EducationalInstitution http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/University http://dbpedia.org/ontology/SoccerClub http://dbpedia.org/ontology/SportsTeam"
"1484","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Royalty"
"1484","1","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Royalty"
"1484","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/City"
"1484","3","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Royalty"
"1501","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Royalty"
"1501","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/Country"
"1501","2","http://dbpedia.org/ontology/ArchitecturalStructure http://dbpedia.org/ontology/Building http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1532","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Cleric http://dbpedia.org/ontology/Saint"
"1532","1","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1549","0","http://dbpedia.org/ontology/Person"
"1549","1","http://dbpedia.org/ontology/City http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1557","0","http://dbpedia.org/ontology/Person"
"1557","1","http://dbpedia.org/ontology/City http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1548","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Scientist"
"1548","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/City"
"1558","0","http://dbpedia.org/ontology/Person"
"1558","1","http://dbpedia.org/ontology/City http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/Village"
"1551","0","http://dbpedia.org/ontology/Person"
"1551","1","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Scientist"
"1551","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Country"
"1551","3","http://dbpedia.org/ontology/EducationalInstitution http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/University"
"1555","0","http://dbpedia.org/ontology/Person"
"1555","1","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1555","2","http://dbpedia.org/ontology/Person"
"1566","0","http://dbpedia.org/ontology/Person"
"1566","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/City"
"1566","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1442","0","http://dbpedia.org/ontology/ArchitecturalStructure http://dbpedia.org/ontology/Infrastructure http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/Road http://dbpedia.org/ontology/RouteOfTransportation"
"1442","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/Town"
"1442","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/Town http://dbpedia.org/ontology/City"
"1550","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Scientist"
"1550","1","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/City"
"1534","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Cleric http://dbpedia.org/ontology/Saint"
"1534","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/Country"
"1534","2","http://dbpedia.org/ontology/Person"
"1562","0","http://dbpedia.org/ontology/BodyOfWater http://dbpedia.org/ontology/NaturalPlace http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/Sea"
"1564","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Politician"
"1564","1","http://dbpedia.org/ontology/EducationalInstitution http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/University"
"1564","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/City"
"1564","3","http://dbpedia.org/ontology/Person"
"1568","0","http://dbpedia.org/ontology/MeanOfTransportation http://dbpedia.org/ontology/Ship"
"1535","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Cleric http://dbpedia.org/ontology/Saint"
"1535","1","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1535","2","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Cleric http://dbpedia.org/ontology/Pope"
"1492","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Royalty"
"1492","1","http://dbpedia.org/ontology/City http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1492","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1569","0","http://dbpedia.org/ontology/ArchitecturalStructure http://dbpedia.org/ontology/Building http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/ShoppingMall"
"1569","1","http://dbpedia.org/ontology/Company http://dbpedia.org/ontology/Person"
"1563","0","http://dbpedia.org/ontology/BodyOfWater http://dbpedia.org/ontology/NaturalPlace http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/Sea"
"1529","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Cleric http://dbpedia.org/ontology/Saint"
"1529","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/Country"
"1545","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Scientist"
"1545","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/City http://dbpedia.org/ontology/Settlement"
"1573","0","http://dbpedia.org/ontology/MusicalWork http://dbpedia.org/ontology/Single http://dbpedia.org/ontology/Song http://dbpedia.org/ontology/Work"
"1573","1","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Artist"
"1573","2","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Artist"
"1573","3","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Artist"
"1489","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Royalty"
"1489","1","http://dbpedia.org/ontology/City http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Country"
"1489","2","http://dbpedia.org/ontology/City http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1565","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Politician"
"1565","1","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1571","0","http://dbpedia.org/ontology/MusicalWork http://dbpedia.org/ontology/Single http://dbpedia.org/ontology/Song http://dbpedia.org/ontology/Work"
"1571","1","http://dbpedia.org/ontology/Person"
"1571","2","http://dbpedia.org/ontology/Person"
"1571","3","http://dbpedia.org/ontology/Person"
"1543","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Scientist"
"1543","1","http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/City http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1552","0","http://dbpedia.org/ontology/Person"
"1552","1","http://dbpedia.org/ontology/Person"
"1552","2","http://dbpedia.org/ontology/Person"
"1552","3","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1552","4","http://dbpedia.org/ontology/Person"
"1522","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Cleric http://dbpedia.org/ontology/Saint"
"1522","1","http://dbpedia.org/ontology/Person"
"1522","2","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1522","3","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1561","0","http://dbpedia.org/ontology/Person"
"1561","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/City"
"1572","0","http://dbpedia.org/ontology/MusicalWork http://dbpedia.org/ontology/Song http://dbpedia.org/ontology/Work http://dbpedia.org/ontology/Single"
"1572","1","http://dbpedia.org/ontology/Person"
"1572","2","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Artist"
"1572","3","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Artist"
"152","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Athlete http://dbpedia.org/ontology/Cyclist"
"152","1","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"152","2","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1567","0","http://dbpedia.org/ontology/Person"
"1567","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/AdministrativeRegion http://dbpedia.org/ontology/Region"
"1567","2","http://dbpedia.org/ontology/City http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1570","0","http://dbpedia.org/ontology/ArchitecturalStructure http://dbpedia.org/ontology/Building http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/ShoppingMall"
"1570","1","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Company http://dbpedia.org/ontology/Organisation"
"1497","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Royalty"
"1497","1","http://dbpedia.org/ontology/City http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1497","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1542","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Scientist"
"1542","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/Village http://dbpedia.org/ontology/City"
"1493","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Royalty"
"1493","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Country"
"1493","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1595","0","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/SiteOfSpecialScientificInterest"
"1595","1","http://dbpedia.org/ontology/AdministrativeRegion http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Region"
"1491","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Royalty"
"1491","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/Country"
"1491","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1556","0","http://dbpedia.org/ontology/Person"
"1556","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/City http://dbpedia.org/ontology/Settlement"
"153","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Athlete"
"153","1","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"153","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Country"
"1596","0","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/SiteOfSpecialScientificInterest"
"1596","1","http://dbpedia.org/ontology/AdministrativeRegion http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Region"
"1554","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Scientist"
"1554","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/Country"
"1554","2","http://dbpedia.org/ontology/Person"
"1441","0","http://dbpedia.org/ontology/ArchitecturalStructure http://dbpedia.org/ontology/Infrastructure http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/Road http://dbpedia.org/ontology/RouteOfTransportation"
"1441","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/City http://dbpedia.org/ontology/Settlement"
"1441","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/Town http://dbpedia.org/ontology/City"
"140","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Athlete http://dbpedia.org/ontology/Cyclist"
"140","1","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"140","2","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1528","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Cleric http://dbpedia.org/ontology/Saint"
"1528","1","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1583","0","http://dbpedia.org/ontology/MusicalWork http://dbpedia.org/ontology/Single http://dbpedia.org/ontology/Work"
"1583","1","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/MusicalArtist http://dbpedia.org/ontology/Artist"
"1583","2","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/MusicalArtist http://dbpedia.org/ontology/Artist http://dbpedia.org/ontology/Band http://dbpedia.org/ontology/Group http://dbpedia.org/ontology/Organisation"
"1583","3","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/MusicalArtist http://dbpedia.org/ontology/Artist http://dbpedia.org/ontology/Band http://dbpedia.org/ontology/Group http://dbpedia.org/ontology/Organisation"
"1583","4","http://dbpedia.org/ontology/MusicalWork http://dbpedia.org/ontology/Single http://dbpedia.org/ontology/Work"
